EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
881789,LYON CO.,BUSHONG,05/14/2020,1905,Tornado, ,EFU,0,0,0,0,KS,CST-6, ,146694,C,111,TOP,0,0,Storm Chaser, ,2.66,25,5,NW,7,NNW,BUSHONG,05/14/2020,1909,38.71,-96.31,38.74,-96.3,"Storm chasers reported a small tornado on the ground south north of Bushong.  Photos were also taken showing a narrow funnel extending near the ground.  No damage was reported.","A cluster of severe t-storms some supercells developed across parts of northeast Kansas on the evening of May 14th.  At least 4 small short lived tornadoes were documented by storm chasers.  No damage was reported with any of the tornadoes so all will be classified as EFU although photos suggest they were small and short-lived.",1
881791,WABAUNSEE CO.,ALTA VISTA,05/14/2020,1920,Tornado, ,EFU,0,0,0,0,KS,CST-6, ,146694,C,197,TOP,0,0,Storm Chaser, ,0.97,75,3,ENE,4,ENE,ALTA VISTA,05/14/2020,1926,38.89,-96.4214,38.886,-96.4041,"Storm chasers also reported a small tornado on the ground northeast of Alta Vista.  No damage was reported from this tornado.  Other chasers viewing this storm from 15-20 miles east of it also reported a tornado around 825 pm looking west toward Wabaunsee County.","A cluster of severe t-storms some supercells developed across parts of northeast Kansas on the evening of May 14th.  At least 4 small short lived tornadoes were documented by storm chasers.  No damage was reported with any of the tornadoes so all will be classified as EFU although photos suggest they were small and short-lived.",2
881788,MORRIS CO.,HOUCKE,05/14/2020,1949,Tornado, ,EFU,0,0,0,0,KS,CST-6, ,146694,C,127,TOP,0,0,Storm Chaser, ,3.69,50,5,SW,2,S,COUNCIL GROVE,05/14/2020,2000,38.5674,-96.4891,38.6207,-96.4852,"Storm chasers reported a small tornado on the ground south of Council Grove.  Photos were also taken showing a narrow funnel extending near the ground.","A cluster of severe t-storms some supercells developed across parts of northeast Kansas on the evening of May 14th.  At least 4 small short lived tornadoes were documented by storm chasers.  No damage was reported with any of the tornadoes so all will be classified as EFU although photos suggest they were small and short-lived.",3
881793,LYON CO.,BUSHONG,05/14/2020,1953,Tornado, ,EF0,0,0,0,0,KS,CST-6, ,146694,C,111,TOP,0,0,Storm Chaser, ,1.6,50,3,NW,3,NNW,BUSHONG,05/14/2020,2006,38.679,-96.2829,38.6971,-96.2644,"Additional supercell t-storms developed after 830 pm CDT and produced at least 1 additional tornado near where tornadoes had been reported about one hour prior.  Media outlet KVOE provided a video showing a small tornado northwest of Bushong around 9 pm CDT.  Minor damage was reported to an outbuilding and a trampoline was blown over near the end point of this tornado so it will be recorded as EF0.","A cluster of severe t-storms some supercells developed across parts of northeast Kansas on the evening of May 14th.  At least 4 small short lived tornadoes were documented by storm chasers.  No damage was reported with any of the tornadoes so all will be classified as EFU although photos suggest they were small and short-lived.",4
894116,GREELEY CO.,WHITELAW,05/21/2020,1233,Tornado, ,EFU,0,0,0,0,KS,MST-7, ,148214,C,71,GLD,0,0,Storm Chaser, ,0.01,50,15,NNE,15,NNE,WHITELAW,05/21/2020,1233,38.66,-101.6,38.66,-101.6,"Weak landspout tornado reported. Difficult to discern exact location and duration. Images were received confirming this tornado.","During the early afternoon a landspout was reported in Greeley County.  The landspout occurred in the northeast part of the county.  No damage was reported.||During the evening a line of strong to severe thunderstorms moved through Western Kansas.  Part of this line developed a bow echo that produced wind gusts up to 60 MPH.   Nickel size hail was reported from the strongest storm in the line.",5
899092,HAMILTON CO.,COOLIDGE,05/21/2020,1415,Tornado, ,EF0,0,0,0,0,KS,MST-7, ,149144,C,75,DDC,0,0,Storm Chaser, ,0.56,50,10,N,10,NNE,COOLIDGE,05/21/2020,1417,38.1702,-101.97,38.1744,-101.9611,"This was one of two twin landspout tornadoes.","A slight severe risk for much of the CWA due to a cold front pushing in from the northwest. With ample enough shear over 30kts and low level moisture ahead of it, a number of storms developed along and ahead the boundary giving way to large hail close to 3 inches in diameter. The storms out of eastern Colorado well behind the front came with mainly damaging winds and flooding hazards being more of cluster and lines that moved through the far western counties of the CWA.",6
899093,HAMILTON CO.,COOLIDGE,05/21/2020,1415,Tornado, ,EF0,0,0,0,0,KS,MST-7, ,149144,C,75,DDC,0,0,Storm Chaser, ,0.31,50,11,NNE,11,NNE,COOLIDGE,05/21/2020,1418,38.1842,-101.9609,38.1878,-101.9574,"This was one of two twin landspout tornadoes.","A slight severe risk for much of the CWA due to a cold front pushing in from the northwest. With ample enough shear over 30kts and low level moisture ahead of it, a number of storms developed along and ahead the boundary giving way to large hail close to 3 inches in diameter. The storms out of eastern Colorado well behind the front came with mainly damaging winds and flooding hazards being more of cluster and lines that moved through the far western counties of the CWA.",7
899094,STANTON CO.,JOHNSON,05/21/2020,1441,Tornado, ,EF0,0,0,0,0,KS,CST-6, ,149144,C,187,DDC,0,0,Storm Chaser, ,0.07,30,3,WNW,3,WNW,JOHNSON,05/21/2020,1442,37.593,-101.805,37.5938,-101.8043,"This was a brief landspout tornado.","A slight severe risk for much of the CWA due to a cold front pushing in from the northwest. With ample enough shear over 30kts and low level moisture ahead of it, a number of storms developed along and ahead the boundary giving way to large hail close to 3 inches in diameter. The storms out of eastern Colorado well behind the front came with mainly damaging winds and flooding hazards being more of cluster and lines that moved through the far western counties of the CWA.",8
899095,HAMILTON CO.,SYRACUSE,05/21/2020,1606,Tornado, ,EF0,0,0,0,0,KS,MST-7, ,149144,C,75,DDC,0,0,Storm Chaser, ,0.07,50,10,S,10,S,SYRACUSE,05/21/2020,1607,37.84,-101.75,37.841,-101.75,"This was another landspout tornado.","A slight severe risk for much of the CWA due to a cold front pushing in from the northwest. With ample enough shear over 30kts and low level moisture ahead of it, a number of storms developed along and ahead the boundary giving way to large hail close to 3 inches in diameter. The storms out of eastern Colorado well behind the front came with mainly damaging winds and flooding hazards being more of cluster and lines that moved through the far western counties of the CWA.",9
899096,KEARNY CO.,LAKIN,05/21/2020,1811,Tornado, ,EFU,0,0,0,0,KS,CST-6, ,149144,C,93,DDC,0,0,Storm Chaser, ,1.76,150,16,SW,15,SW,LAKIN,05/21/2020,1824,37.802,-101.468,37.7982,-101.4387,"This was a slow moving elephant trunk tornado but there was nothing for the tornado to damage as it moved across sagebrush and pastures.","A slight severe risk for much of the CWA due to a cold front pushing in from the northwest. With ample enough shear over 30kts and low level moisture ahead of it, a number of storms developed along and ahead the boundary giving way to large hail close to 3 inches in diameter. The storms out of eastern Colorado well behind the front came with mainly damaging winds and flooding hazards being more of cluster and lines that moved through the far western counties of the CWA.",10
